library_code,library_name
ANN,Annerley
ASH,Ashgrove
BNO,Banyo
BRR,Bracken Ridge
BSQ,Brisbane Square Library
BUL,Bulimba
CDA,Corinda
CDE,Chermside
CNL,Carindale
CPL,Coopers Plains
CRA,Carina
EPK,Everton Park
FAI,Fairfield
GCY,Garden City
GNG,Grange
HAM,Hamilton
HPK,Holland Park
INA,Inala
IPY,Indooroopilly
KEN,Kenmoore
MBG,Mt. Coot-tha
MIT,Mitchelton
MTG,Mt. Gravatt
MTO,Mt. Ommaney
NDH,Nundah
NFM,New Farm
POP,Pop-up library
SBK,Sunnybank Hills
SCR,Stones Corner
SGT,Sandgate
VAN,Mobile Library
TWG,Toowong
WND,West End
WYN,Wynnum
ZIL,Zillmere
